Replicate,Day,Treatment,Female_Mortality,Insemination,Mycosis,Male_hpi
Replicate1,9,Hybrid2,0,0,0,1
Replicate1,10,Control,0,0,0,1
Replicate1,10,RFP1,1,0,1,1
Replicate1,10,RFP2,1,1,1,1
Replicate1,10,Hybrid1,2,2,2,1
Replicate1,10,Hybrid2,1,1,0,1
Replicate1,11,Control,0,0,0,1
Replicate1,11,RFP1,7,7,7,1
Replicate1,11,RFP2,1,1,1,1
Replicate1,11,Hybrid1,0,0,0,1
Replicate1,11,Hybrid2,0,0,0,1
Replicate1,12,Control,0,0,0,1
Replicate1,12,RFP1,0,0,0,1
Replicate1,12,RFP2,2,1,1,1
Replicate1,12,Hybrid1,0,0,0,1
Replicate1,12,Hybrid2,0,0,0,1
Replicate1,13,Control,0,0,0,1
Replicate1,13,RFP1,0,0,0,1
Replicate1,13,RFP2,0,0,0,1
Replicate1,13,Hybrid1,3,2,3,1
Replicate1,13,Hybrid2,0,0,0,1
Replicate1,14,Control,3,1,0,1
Replicate1,14,RFP1,0,0,0,1
Replicate1,14,RFP2,0,0,0,1
Replicate1,14,Hybrid1,0,0,0,1
Replicate1,14,Hybrid2,0,0,0,1
Replicate1,Alive,Control,37,29,0,1
Replicate1,Alive,RFP1,24,18,0,1
Replicate1,Alive,RFP2,12,9,0,1
Replicate1,Alive,Hybrid1,12,11,0,1
Replicate1,Alive,Hybrid2,14,10,0,1
Replicate2,2,Hybrid1,1,1,1,1
Replicate2,2,RFP2,1,1,1,1
Replicate2,2,Control,1,1,0,1
Replicate2,2,RFP1,0,0,0,1
Replicate2,2,Hybrid2,0,0,0,1
Replicate2,3,Control,0,0,0,1
Replicate2,3,Hybrid1,0,0,0,1
Replicate2,3,Hybrid2,2,2,2,1
Replicate2,3,Hybrid2,1,1,0,1
Replicate2,3,RFP1,4,3,4,1
Replicate2,3,RFP2,1,1,1,1
Replicate2,4,Control,0,0,0,1
Replicate2,4,Hybrid1,0,0,0,1
Replicate2,4,RFP2,0,0,0,1
Replicate2,4,Hybrid2,0,0,0,1
Replicate2,4,RFP1,2,1,1,1
Replicate2,5,Hybrid1,11,7,10,1
Replicate2,5,Hybrid2,8,6,8,1
Replicate2,5,RFP1,8,8,8,1
Replicate2,5,RFP2,0,0,0,1
Replicate2,5,Control,1,1,0,1
